gramm,count,percentage
a e,177,0.0124
nds,177,0.0124
üch,176,0.0123
"gt,",176,0.0123
n Z,176,0.0123
"i, ",176,0.0123
"hn,",175,0.0123
r D,175,0.0123
ar.,174,0.0122
ufs,174,0.0122
uss,174,0.0122
"a, ",173,0.0121
o h,173,0.0121
zer,173,0.0121
vom,173,0.0121
ega,173,0.0121
 pa,173,0.0121
"""Ac",173,0.0121
r r,173,0.0121
üng,173,0.0121
änn,173,0.0121
igi,172,0.0121
Tie,172,0.0121
u g,172,0.0121
fe ,172,0.0121
"t,""",172,0.0121
""" S",171,0.0120
öse,171,0.0120
"ab,",171,0.0120
zie,171,0.0120
Dan,171,0.0120
els,171,0.0120
 Du,171,0.0120
tsc,170,0.0119
"it,",170,0.0119
hti,170,0.0119
a h,170,0.0119
t: ,170,0.0119
m. ,169,0.0118
uen,169,0.0118
 eu,169,0.0118
ela,169,0.0118
m L,169,0.0118
"lt,",169,0.0118
r Z,169,0.0118
"""We",168,0.0118
Stü,168,0.0118
gem,168,0.0118
 ru,168,0.0118
dah,168,0.0118
Soh,168,0.0118
nab,168,0.0118
 Ku,168,0.0118
rad,167,0.0117
rwa,167,0.0117
""" u",167,0.0117
aft,167,0.0117
h l,166,0.0116
igt,166,0.0116
wuß,166,0.0116
beg,166,0.0116
"um,",166,0.0116
"ld,",165,0.0116
lso,165,0.0116
änd,165,0.0116
Kam,165,0.0116
 ju,165,0.0116
rre,165,0.0116
elc,164,0.0115
gs ,164,0.0115
uck,164,0.0115
m A,164,0.0115
ewi,164,0.0115
b s,164,0.0115
ret,164,0.0115
ild,163,0.0114
"au,",163,0.0114
 Ve,163,0.0114
ebr,163,0.0114
gar,163,0.0114
ßer,163,0.0114
"n!""",162,0.0114
id ,162,0.0114
rüb,162,0.0114
gss,162,0.0114
aru,162,0.0114
r j,162,0.0114
asc,161,0.0113
""" E",160,0.0112
Ver,159,0.0111
üßt,159,0.0111
Kat,159,0.0111
 Zw,159,0.0111
rf ,158,0.0111
win,158,0.0111
 lä,158,0.0111
Sol,158,0.0111
" ""G",157,0.0110
soh,157,0.0110
bet,157,0.0110
umm,157,0.0110
 Am,157,0.0110
ngl,157,0.0110
 'd,157,0.0110
", r",156,0.0109
uft,156,0.0109
ase,156,0.0109
Vog,156,0.0109
. ',156,0.0109
"zu,",155,0.0109
ris,155,0.0109
Brü,155,0.0109
uhe,155,0.0109
Ber,155,0.0109
Has,154,0.0108
b u,154,0.0108
flo,154,0.0108
" ""H",154,0.0108
Wol,154,0.0108
Män,154,0.0108
ker,154,0.0108
r N,153,0.0107
bar,153,0.0107
 Do,153,0.0107
 to,153,0.0107
rz ,152,0.0107
Sei,152,0.0107
rüh,152,0.0107
glü,152,0.0107
 Hö,152,0.0107
rzä,152,0.0107
Tis,152,0.0107
Lei,152,0.0107
erc,151,0.0106
sso,151,0.0106
e j,151,0.0106
Zwe,151,0.0106
Hun,150,0.0105
Feu,150,0.0105
ewo,150,0.0105
ln ,150,0.0105
olf,150,0.0105
Fuc,150,0.0105
enb,149,0.0104
a f,149,0.0104
rg ,149,0.0104
abt,148,0.0104
ons,148,0.0104
"hm,",148,0.0104
bel,148,0.0104
"""Du",148,0.0104
iff,148,0.0104
Fel,148,0.0104
u n,147,0.0103
u u,147,0.0103
ngf,147,0.0103
ole,147,0.0103
 Pr,147,0.0103
han,147,0.0103
r P,146,0.0102
mut,146,0.0102
wün,146,0.0102
: d,146,0.0102
b d,146,0.0102
Rie,146,0.0102
"ne,",145,0.0102
eni,145,0.0102
kli,145,0.0102
 Ro,145,0.0102
ält,145,0.0102
"hr,",144,0.0101
eng,144,0.0101
Bro,144,0.0101
eif,144,0.0101
u k,144,0.0101
Leu,144,0.0101
sit,144,0.0101
 oh,143,0.0100
 od,143,0.0100
ürd,142,0.0100
rsp,142,0.0100
fei,142,0.0100
wis,142,0.0100
hun,142,0.0100
n p,142,0.0100
lbs,142,0.0100
hüt,142,0.0100
"ck,",142,0.0100
Lie,141,0.0099
" ""M",141,0.0099
san,141,0.0099
bre,140,0.0098
esi,140,0.0098
pft,140,0.0098
Gra,140,0.0098
dat,140,0.0098
e ',140,0.0098
tau,139,0.0097
"ut,",139,0.0097
l z,139,0.0097
ütt,139,0.0097
Bei,139,0.0097
kri,138,0.0097
l. ,138,0.0097
hul,138,0.0097
g v,137,0.0096
", t",137,0.0096
län,137,0.0096
olz,137,0.0096
a l,137,0.0096
rfe,137,0.0096
lac,137,0.0096
bek,137,0.0096
wür,136,0.0095
"ll,",136,0.0095
aße,136,0.0095
stü,136,0.0095
hic,135,0.0095
hse,135,0.0095
rti,135,0.0095
ule,135,0.0095
kel,135,0.0095
s l,134,0.0094
uhr,134,0.0094
n? ,134,0.0094
ile,134,0.0094
rüd,134,0.0094
f. ,134,0.0094
eud,134,0.0094
" ""J",133,0.0093
elf,133,0.0093
 Hü,133,0.0093
o b,132,0.0093
Mit,132,0.0093
lda,132,0.0093
 'w,132,0.0093
ühl,131,0.0092
Son,131,0.0092
ehö,131,0.0092
hwi,131,0.0092
tot,131,0.0092
Blu,131,0.0092
?' ,131,0.0092
m V,130,0.0091
chz,130,0.0091
ehl,130,0.0091
zug,130,0.0091
 Bu,130,0.0091
kra,129,0.0090
m k,129,0.0090
u f,129,0.0090
ß m,129,0.0090
ili,129,0.0090
Euc,129,0.0090
" ""i",129,0.0090
", H",129,0.0090
m R,128,0.0090
 Kü,128,0.0090
 Ic,128,0.0090
ckl,128,0.0090
o v,128,0.0090
l v,127,0.0089
rka,127,0.0089
rbl,127,0.0089
wel,127,0.0089
unk,127,0.0089
eie,126,0.0088
tli,126,0.0088
 Bi,126,0.0088
lös,126,0.0088
rna,125,0.0088
d S,125,0.0088
 lo,125,0.0088
sst,125,0.0088
hob,125,0.0088
heu,125,0.0088
egn,125,0.0088
 Pe,124,0.0087
gfr,124,0.0087
"r.""",124,0.0087
rma,124,0.0087
"ei,",124,0.0087
gne,124,0.0087
k u,124,0.0087
; u,124,0.0087
bös,123,0.0086
 Zu,123,0.0086
rkt,123,0.0086
euf,123,0.0086
e D,123,0.0086
eße,123,0.0086
 eh,123,0.0086
"tt,",123,0.0086
rus,123,0.0086
e; ,122,0.0085
 bö,122,0.0085
ähr,122,0.0085
ib ,122,0.0085
t.',122,0.0085
fes,121,0.0085
e ü,121,0.0085
spi,121,0.0085
abg,120,0.0084
Am ,120,0.0084
raf,120,0.0084
wal,120,0.0084
Tod,119,0.0083
s E,119,0.0083
ß a,119,0.0083
Dar,119,0.0083
alb,119,0.0083
f a,119,0.0083
bge,119,0.0083
"z, ",119,0.0083
tür,119,0.0083
Arb,118,0.0083
"be,",117,0.0082
ß u,117,0.0082
Him,117,0.0082
l n,117,0.0082
lat,117,0.0082
zig,117,0.0082
kau,117,0.0082
"et,",117,0.0082
äum,117,0.0082
o m,117,0.0082
eer,117,0.0082
tch,117,0.0082
Gre,117,0.0082
hze,116,0.0081
tal,116,0.0081
 Dr,116,0.0081
arr,116,0.0081
 'i,116,0.0081
s R,115,0.0081
n j,115,0.0081
Hoc,115,0.0081
Hol,115,0.0081
"e.""",115,0.0081
 Fa,115,0.0081
laß,114,0.0080
gla,114,0.0080
Lan,114,0.0080
 ro,114,0.0080
Glü,114,0.0080
"""ic",114,0.0080
i s,114,0.0080
aßt,113,0.0079
til,113,0.0079
Hal,113,0.0079
m b,113,0.0079
räu,113,0.0079
eih,112,0.0078
 Ru,112,0.0078
bef,112,0.0078
t t,112,0.0078
de.,112,0.0078
dec,112,0.0078
el.,112,0.0078
log,112,0.0078
mli,112,0.0078
äus,112,0.0078
ros,112,0.0078
nd.,111,0.0078
"ag,",111,0.0078
 Wu,111,0.0078
Wag,111,0.0078
"Ja,",111,0.0078
beh,111,0.0078
öpf,111,0.0078
neu,111,0.0078
"n,'",111,0.0078
ugl,111,0.0078
Sac,110,0.0077
ndi,110,0.0077
fst,110,0.0077
let,110,0.0077
lut,110,0.0077
t; ,110,0.0077
dra,110,0.0077
"ns,",110,0.0077
Haa,109,0.0076
 In,109,0.0076
m v,109,0.0076
 mö,109,0.0076
n N,109,0.0076
Teu,109,0.0076
eun,109,0.0076
b. ,108,0.0076
"le,",108,0.0076
o f,108,0.0076
uri,108,0.0076
mpf,108,0.0076
"un,",108,0.0076
Höh,108,0.0076
Fen,108,0.0076
ue ,108,0.0076
ölf,108,0.0076
hra,107,0.0075
hes,107,0.0075
 hu,107,0.0075
tad,107,0.0075
e V,107,0.0075
chä,107,0.0075
 Zi,107,0.0075
 Lö,107,0.0075
eta,106,0.0074
red,106,0.0074
 nä,106,0.0074
 Pa,106,0.0074
roh,106,0.0074
re.,105,0.0074
keh,105,0.0074
fuh,105,0.0074
l b,105,0.0074
Arm,105,0.0074
 Rü,105,0.0074
Bär,105,0.0074
bat,104,0.0073
tz ,104,0.0073
adt,104,0.0073
"r,""",104,0.0073
mst,104,0.0073
rm ,104,0.0073
'ic,104,0.0073
öst,103,0.0072
pri,103,0.0072
arz,103,0.0072
mte,103,0.0072
räc,103,0.0072
dab,103,0.0072
"se,",103,0.0072
Lus,103,0.0072
rwe,103,0.0072
Wor,103,0.0072
mah,102,0.0071
ure,102,0.0071
Spr,102,0.0071
g b,102,0.0071
ged,102,0.0071
neb,102,0.0071
nee,102,0.0071
eho,102,0.0071
ilt,102,0.0071
ds ,102,0.0071
paa,102,0.0071
äug,102,0.0071
arb,101,0.0071
müs,101,0.0071
pe ,101,0.0071
bsc,101,0.0071
esu,101,0.0071
wöl,101,0.0071
g f,100,0.0070
; a,100,0.0070
t r,100,0.0070
Wer,100,0.0070
iet,100,0.0070
 Za,100,0.0070
 Bo,99,0.0069
off,99,0.0069
rha,99,0.0069
"hl,",99,0.0069
Win,99,0.0069
Bäu,99,0.0069
emd,99,0.0069
öhe,99,0.0069
"""Nu",99,0.0069
nec,99,0.0069
eda,98,0.0069
Hof,98,0.0069
 fu,98,0.0069
m E,98,0.0069
 El,98,0.0069
rhe,98,0.0069
 Lo,98,0.0069
ß n,98,0.0069
ale,97,0.0068
"nt,",97,0.0068
Dor,97,0.0068
So ,97,0.0068
rrn,97,0.0068
ose,97,0.0068
Pri,97,0.0068
f: ,97,0.0068
äub,97,0.0068
lti,97,0.0068
"ir,",97,0.0068
har,97,0.0068
zwö,97,0.0068
anf,96,0.0067
erv,96,0.0067
s P,96,0.0067
h t,96,0.0067
d G,96,0.0067
Spe,96,0.0067
lt.,96,0.0067
 Rä,95,0.0067
Gem,95,0.0067
ünd,95,0.0067
Rin,95,0.0067
"""Ja",95,0.0067
rdi,95,0.0067
""" r",95,0.0067
zel,95,0.0067
"h,""",95,0.0067
m m,95,0.0067
u v,95,0.0067
öge,95,0.0067
sun,95,0.0067
urs,95,0.0067
 Bü,95,0.0067
t I,95,0.0067
tar,94,0.0066
Gut,94,0.0066
; e,94,0.0066
r's,94,0.0066
epp,94,0.0066
eme,94,0.0066
ubt,94,0.0066
eka,94,0.0066
tag,94,0.0066
hni,94,0.0066
öhl,94,0.0066
ühe,94,0.0066
s V,93,0.0065
d H,93,0.0065
" ""L",93,0.0065
s A,93,0.0065
f g,93,0.0065
tub,93,0.0065
agd,93,0.0065
 Vö,93,0.0065
Vög,93,0.0065
 Tu,93,0.0065
uf.,93,0.0065
 Fü,93,0.0065
Kir,93,0.0065
nbl,93,0.0065
nim,92,0.0064
lz ,92,0.0064
azu,92,0.0064
it.,92,0.0064
 mo,92,0.0064
egs,92,0.0064
 aß,92,0.0064
 zi,92,0.0064
enh,92,0.0064
esp,92,0.0064
 äl,92,0.0064
jet,92,0.0064
öte,92,0.0064
ruh,92,0.0064
ses,92,0.0064
Hän,91,0.0064
an.,91,0.0064
Fin,91,0.0064
nle,91,0.0064
irc,91,0.0064
ore,91,0.0064
"""da",91,0.0064
"t?""",91,0.0064
 ac,91,0.0064
Müh,91,0.0064
aul,91,0.0064
käm,90,0.0063
daz,90,0.0063
feh,90,0.0063
"t!""",90,0.0063
aur,90,0.0063
näh,90,0.0063
Nei,90,0.0063
jün,90,0.0063
fle,90,0.0063
ebs,90,0.0063
sha,90,0.0063
müß,90,0.0063
m D,90,0.0063
Fis,90,0.0063
pre,89,0.0062
ab.,89,0.0062
dor,89,0.0062
uße,89,0.0062
tim,89,0.0062
gra,89,0.0062
i T,89,0.0062
ja ,89,0.0062
n ü,89,0.0062
 jü,89,0.0062
o i,89,0.0062
öre,89,0.0062
rlö,89,0.0062
Mül,89,0.0062
aff,88,0.0062
fli,88,0.0062
"eg,",88,0.0062
ums,88,0.0062
rts,88,0.0062
nit,88,0.0062
Löw,88,0.0062
öwe,88,0.0062
Zau,88,0.0062
ffn,87,0.0061
igl,87,0.0061
ebl,87,0.0061
"oß,",87,0.0061
ßes,87,0.0061
""" U",87,0.0061
öhn,87,0.0061
enu,87,0.0061
nnc,87,0.0061
tor,86,0.0060
hlä,86,0.0060
nfa,86,0.0060
a d,86,0.0060
ißt,86,0.0060
z a,86,0.0060
u l,86,0.0060
Ess,86,0.0060
igk,86,0.0060
spa,86,0.0060
üge,86,0.0060
 eb,85,0.0060
Vor,85,0.0060
rke,85,0.0060
mes,85,0.0060
auß,85,0.0060
g k,85,0.0060
a b,85,0.0060
he.,85,0.0060
h r,85,0.0060
"ts,",85,0.0060
zes,85,0.0060
Din,85,0.0060
bau,85,0.0060
lge,85,0.0060
hän,85,0.0060
l G,85,0.0060
unn,85,0.0060
nzu,84,0.0059
a n,84,0.0059
koc,84,0.0059
orf,84,0.0059
gri,84,0.0059
uld,84,0.0059
möc,84,0.0059
i S,84,0.0059
öff,84,0.0059
 No,84,0.0059
gib,84,0.0059
ß w,84,0.0059
 Gä,84,0.0059
Wan,84,0.0059
üte,84,0.0059
ön ,83,0.0058
Wil,83,0.0058
mor,83,0.0058
Gew,83,0.0058
zeh,83,0.0058
r; ,83,0.0058
äut,83,0.0058
gke,83,0.0058
 ra,83,0.0058
sba,83,0.0058
Auf,83,0.0058
g: ,82,0.0057
nzi,82,0.0057
utz,82,0.0057
ef:,82,0.0057
Kau,82,0.0057
r ü,82,0.0057
sec,82,0.0057
röß,82,0.0057
k d,82,0.0057
 hü,82,0.0057
nhe,81,0.0057
In ,81,0.0057
olg,81,0.0057
"rd,",81,0.0057
wah,81,0.0057
exe,81,0.0057
ähe,81,0.0057
grö,81,0.0057
Tas,81,0.0057
"""Wi",81,0.0057
lsb,81,0.0057
Ese,81,0.0057
Mau,81,0.0057
u t,80,0.0056
"kt,",80,0.0056
z u,80,0.0056
per,80,0.0056
ß. ,80,0.0056
ig.,80,0.0056
a i,80,0.0056
afü,80,0.0056
Tra,80,0.0056
"bt,",80,0.0056
Lic,80,0.0056
ürc,80,0.0056
Mar,80,0.0056
gez,79,0.0055
jag,79,0.0055
rvo,79,0.0055
arü,79,0.0055
Hex,79,0.0055
ff ,79,0.0055
dt ,79,0.0055
Rüc,79,0.0055
hlü,79,0.0055
rtr,79,0.0055
ed ,79,0.0055
klo,79,0.0055
Hir,79,0.0055
k a,78,0.0055
fol,78,0.0055
ie:,78,0.0055
fne,78,0.0055
zuf,78,0.0055
edi,78,0.0055
t ü,78,0.0055
nug,78,0.0055
o a,78,0.0055
f m,78,0.0055
bew,78,0.0055
lop,78,0.0055
ufr,78,0.0055
mml,78,0.0055
Kor,78,0.0055
stä,78,0.0055
rak,77,0.0054
pel,77,0.0054
ruf,77,0.0054
Geh,77,0.0054
nis,77,0.0054
ana,77,0.0054
daf,77,0.0054
Ang,77,0.0054
a m,77,0.0054
rrt,77,0.0054
mms,77,0.0054
m f,77,0.0054
a r,77,0.0054
f h,77,0.0054
pac,77,0.0054
Ruh,77,0.0054
hnt,77,0.0054
äme,76,0.0053
 As,76,0.0053
Ant,76,0.0053
"s.""",76,0.0053
tle,76,0.0053
Gei,76,0.0053
hna,76,0.0053
rlo,76,0.0053
t E,76,0.0053
ibt,76,0.0053
lus,76,0.0053
Gef,76,0.0053
the,76,0.0053
af ,76,0.0053
"al,",75,0.0053
hor,75,0.0053
ehs,75,0.0053
äns,75,0.0053
ban,75,0.0053
upt,75,0.0053
sat,75,0.0053
Pfa,75,0.0053
 Jü,75,0.0053
Jün,75,0.0053
Gro,75,0.0053
lse,75,0.0053
eiä,75,0.0053
iäu,75,0.0053
m: ,74,0.0052
ohe,74,0.0052
n o,74,0.0052
s: ,74,0.0052
""", ",74,0.0052
" ""K",74,0.0052
k. ,74,0.0052
ini,74,0.0052
"ug,",74,0.0052
Häu,74,0.0052
 Kä,74,0.0052
ehn,74,0.0052
 Jo,74,0.0052
fül,73,0.0051
ost,73,0.0051
m l,73,0.0051
äft,73,0.0051
lec,73,0.0051
"or,",73,0.0051
nel,73,0.0051
rgn,73,0.0051
ügt,73,0.0051
 pr,73,0.0051
Kra,73,0.0051
Geb,73,0.0051
s r,73,0.0051
ufm,73,0.0051
rbr,73,0.0051
tem,73,0.0051
dsc,73,0.0051
pin,72,0.0050
t's,72,0.0050
Tre,72,0.0050
läg,72,0.0050
rom,72,0.0050
i u,72,0.0050
ämm,72,0.0050
" ""B",72,0.0050
eno,72,0.0050
üße,72,0.0050
n O,72,0.0050
"rr,",72,0.0050
n ',72,0.0050
hif,72,0.0050
eew,72,0.0050
"""Es",71,0.0050
fun,71,0.0050
gnü,71,0.0050
nüg,71,0.0050
itl,71,0.0050
"ot,",71,0.0050
prä,71,0.0050
"""So",71,0.0050
Gar,71,0.0050
ult,71,0.0050
"mt,",71,0.0050
t G,71,0.0050
 Lä,71,0.0050
vat,71,0.0050
lum,71,0.0050
Mon,70,0.0049
ß g,70,0.0049
ahi,70,0.0049
ori,70,0.0049
enm,70,0.0049
ssi,70,0.0049
Hei,70,0.0049
ärm,70,0.0049
"""Ne",70,0.0049
od ,70,0.0049
Pet,70,0.0049
d j,70,0.0049
efü,70,0.0049
Tor,70,0.0049
a a,70,0.0049
ge.,70,0.0049
rnt,70,0.0049
a t,69,0.0048
bla,69,0.0048
l k,69,0.0048
fro,69,0.0048
rün,69,0.0048
fs ,69,0.0048
", B",69,0.0048
ck.,69,0.0048
lüs,69,0.0048
rsu,69,0.0048
"as,",69,0.0048
" ""s",69,0.0048
i i,69,0.0048
d B,69,0.0048
Ung,69,0.0048
kla,69,0.0048
r o,69,0.0048
s D,69,0.0048
uti,69,0.0048
lds,69,0.0048
Dra,69,0.0048
f z,68,0.0048
f w,68,0.0048
huh,68,0.0048
mde,68,0.0048
"""Ei",68,0.0048
 ti,68,0.0048
 lu,68,0.0048
efä,68,0.0048
Bes,68,0.0048
r ',68,0.0048
Zie,68,0.0048
fti,67,0.0047
Wun,67,0.0047
ark,67,0.0047
at.,67,0.0047
n! ,67,0.0047
efr,67,0.0047
gre,67,0.0047
o t,67,0.0047
trü,67,0.0047
Not,67,0.0047
elm,67,0.0047
", j",67,0.0047
Tro,67,0.0047
aup,67,0.0047
rzt,67,0.0047
wit,67,0.0047
Küc,66,0.0046
uh ,66,0.0046
nzt,66,0.0046
"""Ge",66,0.0046
rif,66,0.0046
 Tö,66,0.0046
rwu,66,0.0046
l f,66,0.0046
lor,66,0.0046
"ft,",66,0.0046
töt,66,0.0046
bed,66,0.0046
fäl,66,0.0046
t j,66,0.0046
Ran,66,0.0046
' a,66,0.0046
' E,66,0.0046
d K,66,0.0046
n I,66,0.0046
u z,65,0.0046
ähn,65,0.0046
ife,65,0.0046
; w,65,0.0046
sma,65,0.0046
"""wa",65,0.0046
ars,65,0.0046
mag,65,0.0046
leu,65,0.0046
. H,65,0.0046
zul,65,0.0046
raß,65,0.0046
reh,65,0.0046
pei,65,0.0046
 Ni,65,0.0046
ahn,65,0.0046
nn.,65,0.0046
' u,65,0.0046
Gla,65,0.0046
eir,64,0.0045
müd,64,0.0045
f n,64,0.0045
rep,64,0.0045
bit,64,0.0045
"""we",64,0.0045
rän,64,0.0045
lli,64,0.0045
pen,64,0.0045
ttc,64,0.0045
 's,64,0.0045
hnc,64,0.0045
m P,64,0.0045
mge,63,0.0044
efu,63,0.0044
rri,63,0.0044
äll,63,0.0044
nka,63,0.0044
hüs,63,0.0044
u. ,63,0.0044
z v,63,0.0044
lad,63,0.0044
orc,63,0.0044
übr,63,0.0044
nom,63,0.0044
b a,63,0.0044
u H,63,0.0044
 Ap,63,0.0044
rga,63,0.0044
War,63,0.0044
hmi,63,0.0044
fma,63,0.0044
reg,63,0.0044
'da,63,0.0044
efi,63,0.0044
' A,63,0.0044
 kä,63,0.0044
iga,63,0.0044
"aß,",63,0.0044
z g,62,0.0043
hr.,62,0.0043
nts,62,0.0043
rsa,62,0.0043
Mes,62,0.0043
mus,62,0.0043
Fuß,62,0.0043
Ger,62,0.0043
öße,62,0.0043
"a,""",62,0.0043
d o,62,0.0043
e o,62,0.0043
tma,62,0.0043
o r,62,0.0043
ilb,61,0.0043
änz,61,0.0043
spe,61,0.0043
", M",61,0.0043
eli,61,0.0043
heh,61,0.0043
 dü,61,0.0043
ng.,61,0.0043
abs,61,0.0043
 kü,61,0.0043
rni,61,0.0043
Kre,61,0.0043
" ""O",61,0.0043
hma,61,0.0043
xe ,61,0.0043
"me,",61,0.0043
 'W,61,0.0043
pro,60,0.0042
glä,60,0.0042
Asc,60,0.0042
ntg,60,0.0042
 Pl,60,0.0042
lsc,60,0.0042
 öf,60,0.0042
Luf,60,0.0042
u r,60,0.0042
gd ,60,0.0042
cks,60,0.0042
ürz,60,0.0042
ühn,60,0.0042
Hüt,60,0.0042
zwa,59,0.0041
 em,59,0.0041
nnl,59,0.0041
"e,""",59,0.0041
enf,59,0.0041
trä,59,0.0041
"""Me",59,0.0041
 Oh,59,0.0041
elh,59,0.0041
Kne,59,0.0041
. M,59,0.0041
But,59,0.0041
: e,58,0.0041
wäh,58,0.0041
", G",58,0.0041
usz,58,0.0041
grü,58,0.0041
 za,58,0.0041
rft,58,0.0041
är ,58,0.0041
i g,58,0.0041
; s,58,0.0041
gie,58,0.0041
urz,58,0.0041
Mac,58,0.0041
Ker,58,0.0041
mie,58,0.0041
inl,58,0.0041
 Ec,58,0.0041
Eck,58,0.0041
of ,58,0.0041
Mag,58,0.0041
"""De",58,0.0041
Tal,58,0.0041
gt.,58,0.0041
hac,58,0.0041
app,58,0.0041
ira,57,0.0040
hm:,57,0.0040
faß,57,0.0040
d W,57,0.0040
nft,57,0.0040
"""Wo",57,0.0040
Bri,57,0.0040
bch,57,0.0040
rko,57,0.0040
ipp,57,0.0040
h ü,57,0.0040
Abs,57,0.0040
lee,57,0.0040
b m,57,0.0040
lb ,57,0.0040
mhe,57,0.0040
" ""F",57,0.0040
uts,57,0.0040
Apf,57,0.0040
Dum,57,0.0040
umg,56,0.0039
lem,56,0.0039
rk ,56,0.0039
ögl,56,0.0039
guc,56,0.0039
one,56,0.0039
rse,56,0.0039
ift,56,0.0039
. K,56,0.0039
aun,56,0.0039
k i,56,0.0039
ors,56,0.0039
Tei,56,0.0039
erü,56,0.0039
Unt,56,0.0039
nbr,56,0.0039
Nic,56,0.0039
"rg,",56,0.0039
zli,55,0.0039
ak ,55,0.0039
mec,55,0.0039
dür,55,0.0039
d ü,55,0.0039
z d,55,0.0039
loc,55,0.0039
lze,55,0.0039
"du,",55,0.0039
t S,55,0.0039
wid,55,0.0039
 Ne,55,0.0039
rn.,55,0.0039
Dre,55,0.0039
ürl,55,0.0039
"l.""",55,0.0039
nla,55,0.0039
hch,55,0.0039
s U,55,0.0039
Bür,55,0.0039
ünf,55,0.0039
öns,55,0.0039
Räu,55,0.0039
hah,54,0.0038
Fed,54,0.0038
Pla,54,0.0038
itg,54,0.0038
ei.,54,0.0038
k s,54,0.0038
; i,54,0.0038
Fle,54,0.0038
ätz,54,0.0038
et.,54,0.0038
i m,54,0.0038
rwi,54,0.0038
pan,54,0.0038
ärt,54,0.0038
"zt,",53,0.0037
g l,53,0.0037
"ln,",53,0.0037
wiß,53,0.0037
", F",53,0.0037
i e,53,0.0037
lft,53,0.0037
irr,53,0.0037
 rü,53,0.0037
Bar,53,0.0037
eug,53,0.0037
Jet,53,0.0037
in:,53,0.0037
Loh,53,0.0037
rtg,53,0.0037
k e,53,0.0037
 Nä,53,0.0037
ufh,53,0.0037
Bod,53,0.0037
luc,53,0.0037
Rab,53,0.0037
osc,53,0.0037
Ohr,53,0.0037
Brä,53,0.0037
gam,53,0.0037
Mee,53,0.0037
Mun,53,0.0037
ilc,53,0.0037
bot,52,0.0036
i K,52,0.0036
k g,52,0.0036
n's,52,0.0036
jem,52,0.0036
ttl,52,0.0036
fch,52,0.0036
Füß,52,0.0036
Bed,52,0.0036
ir',52,0.0036
Krä,52,0.0036
räf,52,0.0036
ld.,52,0.0036
d T,52,0.0036
m Z,52,0.0036
n U,52,0.0036
m J,52,0.0036
stu,52,0.0036
Kuh,52,0.0036
Hüh,52,0.0036
u G,52,0.0036
 Wä,51,0.0036
emp,51,0.0036
s j,51,0.0036
d F,51,0.0036
es.,51,0.0036
" ""a",51,0.0036
"iß,",51,0.0036
"ja,",51,0.0036
nad,51,0.0036
e.',51,0.0036
See,51,0.0036
"""He",51,0.0036
Fla,51,0.0036
gru,51,0.0036
Tuc,51,0.0036
far,51,0.0036
k n,50,0.0035
Eur,50,0.0035
hoh,50,0.0035
Koc,50,0.0035
Mal,50,0.0035
Dem,50,0.0035
er;,50,0.0035
tla,50,0.0035
", W",50,0.0035
Tau,50,0.0035
lma,50,0.0035
dst,50,0.0035
' S,50,0.0035
u M,50,0.0035
fün,50,0.0035
drü,50,0.0035
" ""Z",50,0.0035
tst,50,0.0035
Fri,50,0.0035
tän,50,0.0035
Dau,50,0.0035
nli,49,0.0034
ezo,49,0.0034
Ent,49,0.0034
inf,49,0.0034
Wo ,49,0.0034
um.,49,0.0034
zah,49,0.0034
", p",49,0.0034
te;,49,0.0034
zwi,49,0.0034
er?,49,0.0034
hem,49,0.0034
ns.,49,0.0034
t! ,49,0.0034
"""Di",49,0.0034
hig,49,0.0034
tut,49,0.0034
bor,49,0.0034
 'D,49,0.0034
"fe,",49,0.0034
umh,49,0.0034
 'e,49,0.0034
"t,'",49,0.0034
u: ,49,0.0034
weh,49,0.0034
rbo,48,0.0034
 Gu,48,0.0034
hnu,48,0.0034
ufz,48,0.0034
i w,48,0.0034
"""Li",48,0.0034
ima,48,0.0034
gge,48,0.0034
k h,48,0.0034
z s,48,0.0034
bro,48,0.0034
be.,48,0.0034
"""Gu",48,0.0034
z h,48,0.0034
bez,48,0.0034
sor,48,0.0034
. B,48,0.0034
rwü,48,0.0034
lit,48,0.0034
Hör,48,0.0034
eva,48,0.0034
. Z,48,0.0034
ntl,48,0.0034
""" W",48,0.0034
Den,48,0.0034
its,48,0.0034
ihe,48,0.0034
e U,48,0.0034
s o,48,0.0034
üst,48,0.0034
""" N",47,0.0033
rös,47,0.0033
"ef,",47,0.0033
ntr,47,0.0033
os ,47,0.0033
ub ,47,0.0033
ilf,47,0.0033
nha,47,0.0033
 Sö,47,0.0033
Söh,47,0.0033
nsa,47,0.0033
urm,47,0.0033
Kom,47,0.0033
ms ,47,0.0033
 ku,47,0.0033
Nam,47,0.0033
e O,47,0.0033
" ""e",47,0.0033
rho,47,0.0033
ufw,47,0.0033
tt.,47,0.0033
"pf,",47,0.0033
Bal,47,0.0033
n?',47,0.0033
 Zo,47,0.0033
bun,47,0.0033
 pl,46,0.0032
rba,46,0.0032
du?,46,0.0032
rfa,46,0.0032
a z,46,0.0032
d E,46,0.0032
dau,46,0.0032
ags,46,0.0032
"on,",46,0.0032
uhi,46,0.0032
ron,46,0.0032
 'I,46,0.0032
Rat,46,0.0032
wic,46,0.0032
Kel,46,0.0032
 'h,46,0.0032
""" f",46,0.0032
klu,46,0.0032
äte,45,0.0032
rfü,45,0.0032
All,45,0.0032
ig:,45,0.0032
him,45,0.0032
